,PATTERN,RECODING2,TOTAL_OCCURRENCES
2062,int corporation,BUSINESS,20
2063,business ec,BUSINESS,20
2064,acad manage rev,BUSINESS,20
2065,q rev biol,NATURAL SCIENCES,20
2066,hum biol,NATURAL SCIENCES,20
2067,uta p,DK,20
2068,thesis u oxford,DK,20
2069,thesis,DK,20
2070,pch14,DK,20
2071,lond sch e,DK,20
2072,ec b,DK,20
2073,competition among fe,DK,20
2074,bulletin,DK,20
2075,aer s,DK,20
2076,activity analysis pr,DK,20
2077,statistics random pr,STATISTICS,19
2078,statistical testing,STATISTICS,19
2079,handb stat,STATISTICS,19
2080,estimation identific,STATISTICS,19
2081,am families pat,SOCIOLOGY,19
2082,soc sci hist,SOCIOLOGY,19
2083,int encyclopedia soc,SOCIOLOGY,19
2084,free all lessons ran,HEALTH,19
2085,b world health organ,HEALTH,19
2086,heuristics biases ps,PSYCHOLOGY,19
2087,world hdb political,POLSCIENCE,19
2088,constitution liberty,POLSCIENCE,19
2089,comp polit stud,POLSCIENCE,19
2090,p cambridge philos s,PHILOSOPHY,19
2091,stanf u i math stu,MATHEMATICS,19
2092,siam j numer anal,MATHEMATICS,19
2093,optimal control theo,MATHEMATICS,19
2094,mathematical models,MATHEMATICS,19
2095,math z,MATHEMATICS,19
2096,math scand,MATHEMATICS,19
2097,math methods theory,MATHEMATICS,19
2098,adv theory measureme,MATHEMATICS,19
2099,cr hebd acad sci,GENERAL-SCIENTIFIC,19
2100,q rev econ financ,FINANCE,19
2101,new york money marke,FINANCE,19
2102,new dev anal market,FINANCE,19
2103,money rates money ma,FINANCE,19
2104,j financial economic,FINANCE,19
2105,int currency experie,FINANCE,19
2106,int capital markets,FINANCE,19
2107,banking policy price,FINANCE,19
2108,energ policy,OTHER,19
2109,yale economic essays,ECONOMICS,19
2110,time series models,ECONOMICS,19
2111,theory linear econom,ECONOMICS,19
2112,theory economic poli,ECONOMICS,19
2113,stud bus cycles,ECONOMICS,19
2114,stages ec growth,ECONOMICS,19
2115,stability perfection,ECONOMICS,19
2116,reconstruction ec,ECONOMICS,19
2117,rational choice cont,ECONOMICS,19
2118,q rev federal reserv,ECONOMICS,19
2119,oxford ec papers oct,ECONOMICS,19
2120,osaka ec papers,ECONOMICS,19
2121,org firms global ec,ECONOMICS,19
2122,optimal consumption,ECONOMICS,19
2123,open econ rev,ECONOMICS,19
2124,oecd ec dep,ECONOMICS,19
2125,measurement saving i,ECONOMICS,19
2126,married women labor,ECONOMICS,19
2127,market signaling,ECONOMICS,19
2128,manpower ec growth,ECONOMICS,19
2129,lever riches technol,ECONOMICS,19
2130,land ec,ECONOMICS,19
2131,journal of political economy,ECONOMICS,19
2132,jb nationalokonomie,ECONOMICS,19
2133,j political ec s,ECONOMICS,19
2134,j eur econ hist,ECONOMICS,19
2135,j econ stud,ECONOMICS,19
2136,j cultural ec,ECONOMICS,19
2137,investment productio,ECONOMICS,19
2138,intro general equili,ECONOMICS,19
2139,ind evolution dev co,ECONOMICS,19
2140,in press hdb labor e,ECONOMICS,19
2141,in press ec lett,ECONOMICS,19
2142,harv u i ec res,ECONOMICS,19
2143,growth theory exposi,ECONOMICS,19
2144,geometry int trade,ECONOMICS,19
2145,game theory anal con,ECONOMICS,19
2146,food res i studies,ECONOMICS,19
2147,explorations ec,ECONOMICS,19
2148,essays fiscal federa,ECONOMICS,19
2149,employment unemploym,ECONOMICS,19
2150,employment equilibri,ECONOMICS,19
2151,economic studies,ECONOMICS,19
2152,econometrics ec theo,ECONOMICS,19
2153,ec theory retrospect,ECONOMICS,19
2154,ec j c papers,ECONOMICS,19
2155,ec enterprise,ECONOMICS,19
2156,distribution income,ECONOMICS,19
2157,demand automobiles u,ECONOMICS,19
2158,ctr glob dev,ECONOMICS,19
2159,cowl f mon,ECONOMICS,19
2160,course game theory,ECONOMICS,19
2161,conquest am inflatio,ECONOMICS,19
2162,capital stock growth,ECONOMICS,19
2163,capital formation ec,ECONOMICS,19
2164,ann world bank c dev,ECONOMICS,19
2165,aea papers p,ECONOMICS,19
2166,u cal i bus ec re,BUSINESS,19
2167,oil gas j,BUSINESS,19
2168,multinational firms,BUSINESS,19
2169,mergers acquisitions,BUSINESS,19
2170,market structure inn,BUSINESS,19
2171,j petrol technol,BUSINESS,19
2172,decision sci,BUSINESS,19
2173,at&t tech j,BUSINESS,19
2174,ann surv man,BUSINESS,19
2175,p roy soc b-biol sci,NATURAL SCIENCES,19
2176,math biosci,NATURAL SCIENCES,19
2177,china q,ANTHROPOLOGY,19
2178,year plan,DK,19
2179,world c ec soc cam,DK,19
2180,vit stat us,DK,19
2181,unpub intergeneratio,DK,19
2182,tel av u foerd,DK,19
2183,spatial interaction,DK,19
2184,res rep,DK,19
2185,princeton essays int,DK,19
2186,pch20,DK,19
2187,core,DK,19
2188,activity anal theory,DK,19
2189,statist,STATISTICS,18
2190,soc sec b ann stat s,STATISTICS,18
2191,rank correlation met,STATISTICS,18
2192,nonlinear stat model,STATISTICS,18
2193,math methods stat,STATISTICS,18
2194,j royal stat soc a,STATISTICS,18
2195,contributions probab,STATISTICS,18
2196,applied multivariate,STATISTICS,18
2197,appl stat,STATISTICS,18
2198,anal variance,STATISTICS,18
2199,yugoslav survey,ECONOMICS,18
2200,frontiers hlth polic,HEALTH,18
2201,world politics,PSYCHOLOGY,18
2202,pers psychol,PSYCHOLOGY,18
2203,hdb social psychol,PSYCHOLOGY,18
2204,evaluation studies r,PSYCHOLOGY,18
2205,bell curve intellige,PSYCHOLOGY,18
2206,adv expt social psyc,PSYCHOLOGY,18
2207,polit stud-london,POLSCIENCE,18
2208,partisan politics di,POLSCIENCE,18
2209,ann am acad poli jan,POLSCIENCE,18
2210,times london,MEDIA,18
2211,real anal probabilit,MATHEMATICS,18
2212,math theory optimal,MATHEMATICS,18
2213,izvestiya,MATHEMATICS,18
2214,fund math,MATHEMATICS,18
2215,tex law rev,LAW,18
2216,structure sci revolu,HISTORY,18
2217,unpub j finance,FINANCE,18
2218,theory of corporate finance,FINANCE,18
2219,stocks long run,FINANCE,18
2220,risk anal,FINANCE,18
2221,princ u fin res c,FINANCE,18
2222,options futures othe,FINANCE,18
2223,optimal financing de,FINANCE,18
2224,monograph series fin,FINANCE,18
2225,j investment managem,FINANCE,18
2226,j financial quan nov,FINANCE,18
2227,incredible january e,FINANCE,18
2228,gold dollar crisis,FINANCE,18
2229,commercial bank loan,FINANCE,18
2230,capital markets fina,FINANCE,18
2231,ind res technologica,OTHER,18
2232,yb lab stat,ECONOMICS,18
2233,world trading system,ECONOMICS,18
2234,varieties monetary e,ECONOMICS,18
2235,utilite contribution,ECONOMICS,18
2236,uncertainty informat,ECONOMICS,18
2237,u roch ctr ec re,ECONOMICS,18
2238,u cal dep ec wor,ECONOMICS,18
2239,swedish j economics,ECONOMICS,18
2240,studies national bal,ECONOMICS,18
2241,studies modern ec an,ECONOMICS,18
2242,studies business cyc,ECONOMICS,18
2243,studies bayesian eco,ECONOMICS,18
2244,structural slumps mo,ECONOMICS,18
2245,structural interdepe,ECONOMICS,18
2246,structural change ec,ECONOMICS,18
2247,sources invention,ECONOMICS,18
2248,small differences ma,ECONOMICS,18
2249,scale scope dynamics,ECONOMICS,18
2250,reg stud,ECONOMICS,18
2251,recent issues int mo,ECONOMICS,18
2252,recent adv game theo,ECONOMICS,18
2253,prosperity unemploym,ECONOMICS,18
2254,political ec capital,ECONOMICS,18
2255,pacific ec rev,ECONOMICS,18
2256,oligopoly technical,ECONOMICS,18
2257,oligopoly pricing ol,ECONOMICS,18
2258,new keynesian ec,ECONOMICS,18
2259,national monetary po,ECONOMICS,18
2260,nat bur ec res tec,ECONOMICS,18
2261,modelling ec,ECONOMICS,18
2262,measurement social w,ECONOMICS,18
2263,logic social choice,ECONOMICS,18
2264,location land use,ECONOMICS,18
2265,joyless ec,ECONOMICS,18
2266,j political econ oct,ECONOMICS,18
2267,j money credit b feb,ECONOMICS,18
2268,j int dev,ECONOMICS,18
2269,j hlth ec,ECONOMICS,18
2270,j evol econ,ECONOMICS,18
2271,investment human cap,ECONOMICS,18
2272,int monetary system,ECONOMICS,18
2273,innovation policy ec,ECONOMICS,18
2274,in press j ec behav,ECONOMICS,18
2275,hdb urban regional e,ECONOMICS,18
2276,full recovery stagna,ECONOMICS,18
2277,financing am prosper,ECONOMICS,18
2278,fighting poverty us,ECONOMICS,18
2279,exchange prices prod,ECONOMICS,18
2280,european m econometr,ECONOMICS,18
2281,essays monetary econ,ECONOMICS,18
2282,elements pure econom,ECONOMICS,18
2283,ec scale form produc,ECONOMICS,18
2284,ec public finance,ECONOMICS,18
2285,ec labour market,ECONOMICS,18
2286,ec consumer behaviou,ECONOMICS,18
2287,cultural transmissio,ECONOMICS,18
2288,corporate economy,ECONOMICS,18
2289,commodities capabili,ECONOMICS,18
2290,canadian j ec po nov,ECONOMICS,18
2291,bidding auctioning p,ECONOMICS,18
2292,bell lab ec disc,ECONOMICS,18
2293,auctions bidding con,ECONOMICS,18
2294,atlantic econ j,ECONOMICS,18
2295,am occupational stru,ECONOMICS,18
2296,am l ec rev,ECONOMICS,18
2297,transport sci,BUSINESS,18
2298,unpub renegotiation,DK,18
2299,unpub empirical anal,DK,18
2300,thesis oxford u,DK,18
2301,thesis iowa state u,DK,18
2302,techn pap,DK,18
2303,teaching undergradua,DK,18
2304,structure competitiv,DK,18
2305,staff pap,DK,18
2306,queens u disc pa,DK,18
2307,princ u w wils sc,DK,18
2308,pap,DK,18
2309,nw u disc,DK,18
2310,notes theory choice,DK,18
2311,modeling measuring n,DK,18
2312,model macroeconomic,DK,18
2313,int comparison natio,DK,18
2314,harv u disc pap,DK,18
2315,distribution persona,DK,18
2316,curr pop rep p25,STATISTICAL DATA,18
2317,col u disc pap,DK,18
2318,caress u penns,DK,18
2319,activity analysis th,DK,18
2320,195,DK,18
2321,transport res b-meth,URBAN STUDIES,17
2322,transport res a-pol,URBAN STUDIES,17
2323,studies applied prob,STATISTICS,17
2324,stochastic dominance,STATISTICS,17
2325,probabilities potent,STATISTICS,17
2326,monte carlo methods,STATISTICS,17
2327,mathematical statist,STATISTICS,17
2328,j royal stat soc,STATISTICS,17
2329,identification unpub,STATISTICS,17
2330,foundations statisti,STATISTICS,17
2331,appl stat-j roy st c,STATISTICS,17
2332,public health rep,HEALTH,17
2333,health care financ rev,HEALTH,17
2334,theory cognitive dis,PSYCHOLOGY,17
2335,voting collective ch,POLSCIENCE,17
2336,political q,POLSCIENCE,17
2337,elect stud,POLSCIENCE,17
2338,democracy am,POLSCIENCE,17
2339,contemp policy issue,POLSCIENCE,17
2340,can public pol,POLSCIENCE,17
2341,new yorker,MEDIA,17
2342,harvard business may,MEDIA,17
2343,harvard business mar,MEDIA,17
2344,topology,MATHEMATICS,17
2345,lectures functional,MATHEMATICS,17
2346,convex analysis,MATHEMATICS,17
2347,adv calculus,MATHEMATICS,17
2348,taxes,LAW,17
2349,brit j criminol,LAW,17
2350,antitrust paradox,LAW,17
2351,past present,HISTORY,17
2352,hist method,HISTORY,17
2353,rev quantitative fin,FINANCE,17
2354,rev deriv res,FINANCE,17
2355,market making changi,FINANCE,17
2356,management bank fund,FINANCE,17
2357,j empirical finance,FINANCE,17
2358,financial anal j may,FINANCE,17
2359,eng min j,OTHER,17
2360,world ec outl,ECONOMICS,17
2361,welfare ec theory st,ECONOMICS,17
2362,wage curve,ECONOMICS,17
2363,utilitarianism,ECONOMICS,17
2364,unified theory estim,ECONOMICS,17
2365,uneven tides rising,ECONOMICS,17
2366,unemployment search,ECONOMICS,17
2367,u zur i emp res e,ECONOMICS,17
2368,theory general ec eq,ECONOMICS,17
2369,studies energy tax p,ECONOMICS,17
2370,structure am ind,ECONOMICS,17
2371,strategy economic de,ECONOMICS,17
2372,stat inc ind inc tax,ECONOMICS,17
2373,specification estima,ECONOMICS,17
2374,share top wealth hol,ECONOMICS,17
2375,risky behav youths e,ECONOMICS,17
2376,rev ec politique,ECONOMICS,17
2377,rethinking estate gi,ECONOMICS,17
2378,repeated games reput,ECONOMICS,17
2379,production trends us,ECONOMICS,17
2380,pensions us ec,ECONOMICS,17
2381,pensions labor indiv,ECONOMICS,17
2382,parental priorities,ECONOMICS,17
2383,oxford studies price,ECONOMICS,17
2384,new concepts wage de,ECONOMICS,17
2385,nature significance,ECONOMICS,17
2386,multiple purpose riv,ECONOMICS,17
2387,mostly harmless econometrics: an empiricists companion,ECONOMICS,17
2388,macroeconomic activi,ECONOMICS,17
2389,lond cambr ec ser,ECONOMICS,17
2390,limits growth,ECONOMICS,17
2391,latent variables soc,ECONOMICS,17
2392,j world trade,ECONOMICS,17
2393,int monetary relatio,ECONOMICS,17
2394,inside black box tec,ECONOMICS,17
2395,individualism ec ord,ECONOMICS,17
2396,ind trade,ECONOMICS,17
2397,in press j ec lit,ECONOMICS,17
2398,impact multipliers d,ECONOMICS,17
2399,i ec,ECONOMICS,17
2400,hdb population fam a,ECONOMICS,17
2401,hdb hlth ec,ECONOMICS,17
2402,hdb expt ec results,ECONOMICS,17
2403,further essays monet,ECONOMICS,17
2404,food research institute studies. stanford university,ECONOMICS,17
2405,fed res bank ne,ECONOMICS,17
2406,family expenditure s,ECONOMICS,17
2407,expectation ec,ECONOMICS,17
2408,exchange rate system,ECONOMICS,17
2409,european ec,ECONOMICS,17
2410,environ plann a,ECONOMICS,17
2411,economic trends,ECONOMICS,17
2412,economic theory oper,ECONOMICS,17
2413,economia int,ECONOMICS,17
2414,econ soc rev,ECONOMICS,17
2415,econ geogr,ECONOMICS,17
2416,ec shortage,ECONOMICS,17
2417,ec policy principles,ECONOMICS,17
2418,ec location,ECONOMICS,17
2419,ec family,ECONOMICS,17
2420,ec exchange rates,ECONOMICS,17
2421,ec anal japanese fir,ECONOMICS,17
2422,distributed lags dem,ECONOMICS,17
2423,development labor su,ECONOMICS,17
2424,dev country debt ec,ECONOMICS,17
2425,demand supply public,ECONOMICS,17
2426,current ec problems,ECONOMICS,17
2427,currency credit,ECONOMICS,17
2428,ctr lab ec di,ECONOMICS,17
2429,critique welfare eco,ECONOMICS,17
2430,consumer demand us 1,STATISTICAL DATA,17
2431,capital am ec its fo,ECONOMICS,17
2432,business cycles theo,ECONOMICS,17
2433,business cycle indic,STATISTICAL DATA,17
2434,brookings pap ec act,ECONOMICS,17
2435,board trade j,ECONOMICS,17
2436,board gov fed,ECONOMICS,17
2437,bell j ECONOMICSspr,ECONOMICS,17
2438,bargaining behavior,ECONOMICS,17
2439,anal ec time series,ECONOMICS,17
2440,am econ,ECONOMICS,17
2441,aggregation economic,ECONOMICS,17
2442,3rd world c ec soc t,ECONOMICS,17
2443,ind eng chem,NATURAL SCIENCES,17
2444,theory business ente,BUSINESS,17
2445,shifting corporation,BUSINESS,17
2446,quantitative marketi,BUSINESS,17
2447,auctions auctioneeri,BUSINESS,17
2448,account horiz,BUSINESS,17
2449,selfish gene,NATURAL SCIENCES,17
2450,am nat,NATURAL SCIENCES,17
2451,unpub technological,DK,17
2452,unpub implementation,DK,17
2453,u penns ctr an,DK,17
2454,u chic ctr res s,DK,17
2455,u cal ctr res,DK,17
2456,theory int values,DK,17
2457,retrospective classi,DK,17
2458,railway age,DK,17
2459,pr7,DK,17
2460,perspectives technol,DK,17
2461,personal distributio,DK,17
2462,pch16,DK,17
2463,pch15,DK,17
2464,p,DK,17
2465,interfaces,DK,17
2466,establishing central,DK,17
2467,centu,DK,17
2468,cal i techn soc,DK,17
2469,ann rep fed dep ins,DK,17
2470,can j stat,STATISTICS,16
2471,bayesian inference s,STATISTICS,16
2472,analog estimation me,STATISTICS,16
2473,advanced theory stat,STATISTICS,16
2474,bargaining group dec,PSYCHOLOGY,16
2475,arch gen psychiat,PSYCHOLOGY,16
2476,boston globe,MEDIA,16
2477,cont math,MATHEMATICS,16
2478,computational method,MATHEMATICS,16
2479,asset pricing asymme,FINANCE,16
2480,adv futures options,FINANCE,16
2481,brown u dep ec,ECONOMICS,16
2482,brookings quarterly,ECONOMICS,16
2483,brookings q ec model,ECONOMICS,16
2484,brookings paper ec a,ECONOMICS,16
2485,be j theor econ,ECONOMICS,16
2486,be j macroecon,ECONOMICS,16
2487,art central banking,ECONOMICS,16
2488,applied consumption,ECONOMICS,16
2489,am economic rev pape,ECONOMICS,16
2490,am ec rev papers may,ECONOMICS,16
2491,am capitalism concep,ECONOMICS,16
2492,agricultural develop,ECONOMICS,16
2493,competitive strategy,BUSINESS,16
2494,anglo am business la,BUSINESS,16
2495,accounting tastes,BUSINESS,16
2496,agr stat,STATISTICAL DATA,16
2497,contributions survey,DK,16
2498,bis q rev,DK,16
2499,ann report,DK,16
2500,convention philos st,PHILOSOPHY,16
2501,cornell law rev,LAW,16
2502,corporate merger,BUSINESS,16
2503,credit policies fede,ECONOMICS,16
2504,credit rationing com,ECONOMICS,16
2505,crisis keynesian ec,ECONOMICS,16
2506,demographic economic,ECONOMICS,16
2507,determinants ec grow,ECONOMICS,16
2508,disequilibrium model,ECONOMICS,16
2509,dynamic equilibrium,ECONOMICS,16
2510,dynamics automobile,DK,16
2511,dynamics supply esti,ECONOMICS,16
2512,ec notes,ECONOMICS,16
2513,ec q,ECONOMICS,16
2514,ec rev federal reser,ECONOMICS,16
2515,ec theory income dis,ECONOMICS,16
2516,ec theory underdevel,ECONOMICS,16
2517,econometric models e,ECONOMICS,16
2518,ECONOMICSlabor forc,ECONOMICS,16
2519,educ financ policy,EDUCATION,16
2520,efficient adaptive e,STATISTICS,16
2521,empirical processes,STATISTICS,16
2522,employment policy la,ECONOMICS,16
2523,equal rights ind rel,ECONOMICS,16
2524,equality efficiency,DK,16
2525,eugen quart,HEALTH,16
2526,federal reserve poli,ECONOMICS,16
2527,fighting poverty wha,PUBLIC POL,16
2528,fiscal policies worl,ECONOMICS,16
2529,food res i stud,AGRICULTURE,16
2530,frontiers of game theory,ECONOMICS,16
2531,functional anal,MATHEMATICS,16
2532,fundamentals pure ap,ECONOMICS,16
2533,game equilibrium mod,ECONOMICS,16
2534,geogr rev,NATURAL SCIENCES,16
2535,harvard business nov,BUSINESS,16
2536,harvard business sep,BUSINESS,16
2537,historical statistic,HISTORY,16
2538,housing financ rev,SOCIOLOGY,16
2539,ieee t automatic con,COMPUTER,16
2540,in press aer,ECONOMICS,16
2541,independent stationa,STATISTICS,16
2542,industrial manag spr,BUSINESS,16
2543,inflation,ECONOMICS,16
2544,int ec policy theory,ECONOMICS,16
2545,int ec system,ECONOMICS,16
2546,investment banking n,FINANCE,16
2547,investment business,BUSINESS,16
2548,investment employmen,ECONOMICS,16
2549,j afr hist,HISTORY,16
2550,j banking finance,FINANCE,16
2551,j biosoc sci,SOCIOLOGY,16
2552,j documents house de,FINANCE,16
2553,j land public util e,ECONOMICS,16
2554,j nutr,HEALTH,16
2555,j political econ may,ECONOMICS,16
2556,j portfolio mana spr,FINANCE,16
2557,j retailing,BUSINESS,16
2558,knowledge,DK,16
2559,lever riches,ECONOMICS,16
2560,life a smith,ECONOMICS,16
2561,life jm keynes,ECONOMICS,16
2562,money trade economic,ECONOMICS,16
2563,monthly labor re may,STATISTICAL DATA,16
2564,neue zeit,MEDIA,16
2565,oper res quart,BUSINESS,16
2566,optimal filtering,DK,16
2567,ownership enterprise,BUSINESS,16
2568,oxford ec papers feb,ECONOMICS,16
2569,policies combat depr,ECONOMICS,16
2570,political ec monetar,ECONOMICS,16
2571,political ec protect,ECONOMICS,16
2572,population problems,DEMOGRAPHY,16
2573,price theory provisi,FINANCE,16
2574,psychol ec decisions,PSYCHOLOGY,16
2575,q rev ec finance,ECONOMICS,16
2576,rational behavior ba,PSYCHOLOGY,16
2577,report minimum wage,STATISTICAL DATA,16
2578,rev ec int,ECONOMICS,16
2579,rev radical pol econ,ECONOMICS,16
2580,rev soc econ,ECONOMICS,16
2581,rev world econ,ECONOMICS,16
2582,search equilibrium a,ECONOMICS,16
2583,seasonal variations,ECONOMICS,16
2584,semiparametric estim,STATISTICS,16
2585,shifting incidence t,ECONOMICS,16
2586,social limits growth,SOCIOLOGY,16
2587,sociological theory,SOCIOLOGY,16
2588,stanf u dep ec te,ECONOMICS,16
2589,stochastic models le,STATISTICS,16
2590,structural equation,ECONOMICS,16
2591,survey consumer,STATISTICAL DATA,16
2592,taxes business strat,BUSINESS,16
2593,techn rep,DK,16
2594,theory economic deve,ECONOMICS,16
2595,theory games statist,STATISTICS,16
2596,theory inventory man,BUSINESS,16
2597,theory money,ECONOMICS,16
2598,theory production,ECONOMICS,16
2599,thesis duke u,DK,16
2600,thesis n carolina st,DK,16
2601,thesis u illinois,DK,16
2602,u brit col work,DK,16
2603,u wisc work,DK,16
2604,u zur,DK,16
2605,unpub business cycle,ECONOMICS,16
2606,urb i work pap,URBAN STUDIES,16
2607,venture capital cycl,FINANCE,16
2608,warw ec res pap,ECONOMICS,16
2609,workers and their wages,ECONOMICS,16
2610,world c ec soc,ECONOMICS,16
2611,yorkshire b ec socia,ECONOMICS,16
2612,1st course stochasti,STATISTICS,15
2613,acta oecon,NATURAL SCIENCES,15
2614,adm behav,POLSCIENCE,15
2615,aggregation ec anal,ECONOMICS,15
2616,am polit quart,POLSCIENCE,15
2617,american economic re,ECONOMICS,15
2618,anal control dynamic,ECONOMICS,15
2619,ann assoc am geogr,NATURAL SCIENCES,15
2620,anticipations uncert,ECONOMICS,15
2621,antitrust paradox po,ECONOMICS,15
2622,aspects multivariate,STATISTICS,15
2623,asset accumulation e,FINANCE,15
2624,aust j agr econ,ECONOMICS,15
2625,austr ec papers,ECONOMICS,15
2626,australian economy,ECONOMICS,15
2627,b int statist inst,STATISTICS,15
2628,b oxford u i stat,STATISTICS,15
2629,bur lab stat,STATISTICAL DATA,15
2630,business ann,BUSINESS,15
2631,c 1 sess,DK,15
2632,c business cycles,ECONOMICS,15
2633,canadian j ec po feb,ECONOMICS,15
2634,capital employment,ECONOMICS,15
2635,capital manufacturin,ECONOMICS,15
2636,central banking theo,ECONOMICS,15
2637,cognition,PSYCHOLOGY,15
2638,collected sci papers,ECONOMICS,15
2639,columbia j world bus,BUSINESS,15
2640,common sense politic,ECONOMICS,15
2641,competitive equilibr,ECONOMICS,15
2642,consumption saving,ECONOMICS,15
2643,contribution demand,ECONOMICS,15
2644,cowles f monograph,ECONOMICS,15
2645,curr pop rep p20,DEMOGRAPHY,15
2646,do household portfol,ECONOMICS,15
2647,dynamic econometric,ECONOMICS,15
2648,ec activity anal,ECONOMICS,15
2649,ec aging,ECONOMICS,15
2650,ec approach human be,PSYCHOLOGY,15
2651,ec dev cultural,ECONOMICS,15
2652,ec essays contribute,ECONOMICS,15
2653,ec essays honor wc m,ECONOMICS,15
2654,ec fluctuations us,ECONOMICS,15
2655,ec interet,ECONOMICS,15
2656,ec mind am civilizat,ECONOMICS,15
2657,ec new goods,ECONOMICS,15
2658,econometric study uk,ECONOMICS,15
2659,effect capital struc,BUSINESS,15
2660,enquiry nature effec,DK,15
2661,fdn math other logic,MATHEMATICS,15
2662,financ dev,FINANCE,15
2663,financial capital fl,FINANCE,15
2664,financial hist us,FINANCE,15
2665,food res i studies s,AGRICULTURE,15
2666,foreign direct inves,FINANCE,15
2667,forum,DK,15
2668,gen purpose technolo,GENERAL-SCIENTIFIC,15
2669,golden fetters gold,ECONOMICS,15
2670,greek ec rev,ECONOMICS,15
2671,hdb appl econometric,ECONOMICS,15
2672,hdb financial ec,ECONOMICS,15
2673,hdb lab stat,ECONOMICS,15
2674,hist ec thought,ECONOMICS,15
2675,i ec performance,ECONOMICS,15
2676,in press economica,ECONOMICS,15
2677,income savings theor,ECONOMICS,15
2678,ind org futures mark,ECONOMICS,15
2679,individual strategy,DK,15
2680,induction growth tra,ECONOMICS,15
2681,industrial organizat,ECONOMICS,15
2682,int s inf theor,STATISTICS,15
2683,int security,POLSCIENCE,15
2684,int trade ec dev,ECONOMICS,15
2685,intro linear statist,STATISTICS,15
2686,intro math statistic,STATISTICS,15
2687,j acq immun def synd,HEALTH,15
2688,j aeronaut sci,GENERAL-SCIENTIFIC,15
2689,j am i planners,URBAN STUDIES,15
2690,j am statistical dec,STATISTICS,15
2691,j am statistical mar,STATISTICS,15
2692,j dev ec,ECONOMICS,15
2693,j ec,ECONOMICS,15
2694,j human capital,ECONOMICS,15
2695,j portfolio mana win,FINANCE,15
2696,journal of time series analysis,STATISTICS,15
2697,justice equite,LAW,15
2698,legislative series,LAW,15
2699,local polynomial mod,MATHEMATICS,15
2700,london cambridge ec,ECONOMICS,15
2701,macroECONOMICSfinan,ECONOMICS,15
2702,malayan ec rev,ECONOMICS,15
2703,math groundwork ec,ECONOMICS,15
2704,measuring inequality,SOCIOLOGY,15
2705,milbank q,HEALTH,15
2706,modern economic grow,ECONOMICS,15
2707,monetary theory mone,ECONOMICS,15
2708,money mechanism exch,ECONOMICS,15
2709,monopoly capital,ECONOMICS,15
2710,multivariate anal,MATHEMATICS,15
2711,n am j econ financ,FINANCE,15
2712,nat bur ec res te,ECONOMICS,15
2713,national banking mar,FINANCE,15
2714,national i ec re feb,ECONOMICS,15
2715,nav res logist q,BUSINESS,15
2716,nonlinear dynamic pr,MATHEMATICS,15
2717,nonparametric functi,MATHEMATICS,15
2718,oecd empl outl,STATISTICAL DATA,15
2719,operations res,BUSINESS,15
2720,oxf ec pap,ECONOMICS,15
2721,p am fed lab,ECONOMICS,15
2722,p am stat ass,STATISTICS,15
2723,pan stud inc dyn pro,ECONOMICS,15
2724,papers size distri,SOCIOLOGY,15
2725,pch18,DK,15
2726,performance measurem,DK,15
2727,political parties,POLSCIENCE,15
2728,pricing big business,BUSINESS,15
2729,queens u i ec re,ECONOMICS,15
2730,recherches ec louvai,ECONOMICS,15
2731,relationship prices,ECONOMICS,15
2732,relative deprivation,SOCIOLOGY,15
2733,rev,DK,15
2734,rev anal ec,ECONOMICS,15
2735,risk uncertainty agr,ECONOMICS,15
2736,riv int sci econ com,ECONOMICS,15
2737,road serfdom,POLSCIENCE,15
2738,robust statistics,STATISTICS,15
2739,sex roles,PSYCHOLOGY,15
2740,short run demand wor,ECONOMICS,15
2741,skandinaviska banken,FINANCE,15
2742,spec lab forc re,STATISTICAL DATA,15
2743,stanf u res pap,DK,15
2744,statistical abstract,STATISTICAL DATA,15
2745,storage commodity ma,BUSINESS,15
2746,strategic factors bu,ECONOMICS,15
2747,studies ec method,ECONOMICS,15
2748,studies ec overhead,ECONOMICS,15
2749,technology economic,ECONOMICS,15
2750,theory functions rea,MATHEMATICS,15
2751,tnec monograph,ECONOMICS,15
2752,topics theory int,DK,15
2753,trade development,ECONOMICS,15
2754,trade policy issues,ECONOMICS,15
2755,trade stability macr,ECONOMICS,15
2756,u cal san dieg,DK,15
2757,u pomp fabr,DK,15
2758,understanding unpub,DK,15
2759,unpub human capital,ECONOMICS,15
2760,unpub instrumental v,STATISTICS,15
2761,unpub understanding,DK,15
2762,us inc outp,STATISTICAL DATA,15
2763,usda,AGRICULTURE,15
2764,value capital inquir,ECONOMICS,15
2765,wisc law rev,LAW,15
2766,work hlth income eld,HEALTH,15
2767,world tabl,STATISTICAL DATA,15
2768,1950,DK,14
2769,acad med,HEALTH,14
2770,accounting us ec gro,ECONOMICS,14
2771,adv appl microeconom,ECONOMICS,14
2772,am business cycle,ECONOMICS,14
2773,am dilemma negro pro,SOCIOLOGY,14
2774,am ec,ECONOMICS,14
2775,analysis variance,STATISTICS,14
2776,ann ec social measur,ECONOMICS,14
2777,ann economic social,ECONOMICS,14
2778,ann i statistical ma,STATISTICS,14
2779,ann rep board gov fe,STATISTICAL DATA,14
2780,asking prices new ap,ECONOMICS,14
2781,aspects theory int c,ECONOMICS,14
2782,atlas world populati,DEMOGRAPHY,14
2783,b i int stat,STATISTICS,14
2784,bank credit,FINANCE,14
