UNIQUEID,YEAR,PERIOD,AUT1,AFFIL_AUT1,DPT_AUT1,AUT2,AFFIL_AUT2,DPT_AUT2,AUT3,AFFIL_AUT3,DPT_AUT3,AUT4,AFFIL_AUT4,DPT_AUT4,AUT5,AFFIL_AUT5,DPT_AUT5
1131,1980,1976-1980,"becker, we","Indiana U, Bloomington",Economics,"   morey, mj","Indiana U, Bloomington",Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA
381,2006,2004-2008,"bedard, k",UC Santa Barbara,Economics,"   deschenes, o",UC Santa Barbara,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA
664,1976,1976-1980,"behrman, j",Upenn,Economics,"   taubman, p",Upenn,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA
233,2005,2004-2008,"behrman, jr",Upenn,Economics,"   rosenzweig, mr",Yale,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA
311,2006,2004-2008,"benabou, roland",Princeton,Economics,"   tirole, jean",Toulouse,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA
334,2006,2004-2008,"bereby-meyer, yoella",Ben Gurion U of the Negev,Economics,"   roth, alvin e.",Harvard,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA
390,2006,2004-2008,"bergstrom, tc",UC Santa Barbara,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1071,1979,1976-1980,"berndt, er",UBC,Economics,"   wood, do",MIT,Business,NA,NA,NA,NA,NA,NA,NA,NA,NA
382,2006,2004-2008,"bernhardt, d",U of Illinois at Urbana-Champaign,Economics,"   hughson, e","U Colorado, Boulder",Business,"   kutsoati, e",Tufts,Economics,NA,NA,NA,NA,NA,NA
141,2004,2004-2008,"bernheim, bd",Stanford,Economics,"   rangel, a",Stanford ,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA
286,2005,2004-2008,"bernhofen, dm",Clark U,Economics,"   brown, jc",Clark U,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA
1111,1979,1976-1980,"bertrand, tj","State U of NY, Binghamton ",Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
363,2006,2004-2008,"besley, t",LSE,Economics,"   prat, a",LSE,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA
611,1976,1976-1980,"best, mh","U Massachusetts, Amherst",Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
686,1976,1976-1980,"betancourt, rr",U Maryland,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,1958,1956-1960,"bhagwati, j",Nuffield,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1049,1979,1976-1980,"bhagwati, jn",MIT,Economics,"   wan, h",Cornell,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA
984,1978,1976-1980,"bigman, d",Johns Hopkins U,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1020,1979,1976-1980,"bishop, j",U Wisconsin-Madison,Economics,"   haveman, r",U Wisconsin-Madison,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,1960,1956-1960,"bishop, rl",MIT,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
299,2005,2004-2008,"black, se",UCLA,Economics,"   devereux, pj",UCLA,Economics,"   salvanes, kg",Norwegian School of Economics and Business Administration,Economics,NA,NA,NA,NA,NA,NA
943,1978,1976-1980,"blair, rd",U of Florida,Economics,"   kaserman, dl",Federal Trade Commission,Other government,NA,NA,NA,NA,NA,NA,NA,NA,NA
695,1976,1976-1980,"blinder, as",Princeton,Economics,"   goldfeld, sm",Princeton,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA
600,1976,1976-1980,"blinder, as",Princeton,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,1958,1956-1960,"blitz, rc",Northwestern,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
199,2004,2004-2008,"blonigen, ba",U Oregon,Economics,"   park, jh",Wayne State U ,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA
496,2008,2004-2008,"blundell, richard",UCL,Economics,"   pistaferri, luigi",Stanford ,Economics,"   preston, ian",UCL,Economics,NA,NA,NA,NA,NA,NA
83,1959,1956-1960,"bodkin, r",Pennsylvania,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
685,1976,1976-1980,"bonin, jp",Wesleyan University,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
195,2004,2004-2008,"borgers, t",UCL,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
864,1978,1976-1980,"bornstein, m",U Michigan,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,1960,1956-1960,"borts, gh",Brown,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
178,2004,2004-2008,"boyarchenko, s","U Texas, Austin",Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
727,1977,1976-1980,"boyer, rs",U Western Ontario,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1000,1979,1976-1980,"braeutigam, rr",Northwestern,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
361,2006,2004-2008,"brandts, j",U Autonoma de Barcelona,Economics,"   cooper, dj",Case Western Reserve U,Business,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,1957,1956-1960,"brems, h",UIC,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
844,1977,1976-1980,"brennan, g",Australian National U,Economics,"   walsh, c",Australian National U,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,1958,1956-1960,"brennan, mj",Brown,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1222,1980,1976-1980,"brito, dl",Tulane U,Economics,"   oakland, wh",Tulane,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA
515,2008,2004-2008,"brocas, isabelle",USC,Economics,"   carrillo, juan d.",USC,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA
905,1978,1976-1980,"brock, wa",U Chicago,Economics,"   magee, sp","U Texas, Austin",Business,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1956,1956-1960,"brown, ec",MIT,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
877,1978,1976-1980,"brown, l",U of New Mexico,Economics,"   kneese, av",U New Mexico,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA
544,2008,2004-2008,"brunnermeier, markus k.",Princeton,Economics,"   nagel, stefan",Stanford ,Business,NA,NA,NA,NA,NA,NA,NA,NA,NA
242,2005,2004-2008,"brunnermeier, mk",Princeton,Economics,"   parker, ja",Princeton,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA
898,1978,1976-1980,"burdett, k",U Wisconsin-Madison,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
268,2005,2004-2008,"burgess, r",LSE,Economics,"   pande, r",Yale,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA
760,1977,1976-1980,"burmeister, e",U Virginia,Economics,"   turnovsky, sj",Australian National U,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA
191,2004,2004-2008,"burnside, c",Duke,Economics,"   dollar, d",World Bank,World Bank,NA,NA,NA,NA,NA,NA,NA,NA,NA
657,1976,1976-1980,"butters, gr",Princeton,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
575,2008,2004-2008,"caballero, ricardo j.",MIT,Economics,"   farhi, emmanuel",Harvard,Economics,"   gourinchas, pierre-olivier",UC Berkeley,Economics,NA,NA,NA,NA,NA,NA
340,2006,2004-2008,"caballero, ricardo j.",MIT,Economics,"   farhi, emmanuel",Mit,Unknown,"   hammour, mohamad l.",Capital Guidance (France),Private,NA,NA,NA,NA,NA,NA
498,2008,2004-2008,"caballero, ricardo j.",MIT,Economics,"   hoshi, takeo",NA,Unknown,"   kashyap, anil k.",NA,Unknown,NA,NA,NA,NA,NA,NA
270,2005,2004-2008,"cai, hb",UCLA,Economics,"   treisman, d",UCLA,Political Science,NA,NA,NA,NA,NA,NA,NA,NA,NA
412,2007,2004-2008,"caillaud, bernard",PSE,Economics,"   tirole, jean",Mit,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA
173,2004,2004-2008,"calvo-armengol, a",U Autonoma de Barcelona,Economics,"   jackson, mo",Caltech,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA
1014,1979,1976-1980,"calvo, g",Columbia,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,1957,1956-1960,"campbell, cd",Dartmouth,Economics,"tullock, g",Standford,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA
129,2004,2004-2008,"campbell, jy",Harvard,Economics,"   vuolteenaho, t",Harvard,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,1958,1956-1960,"campbell, rw",USC,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
453,2007,2004-2008,"cappelen, alexander w.",Norwegian School of Economics and Business Administration,Economics,"   hole, astri drange",Bergen U College ,Economics,"   sorensen, erik o.",Free U,Economics,"   tungodden, bertil",Norwegian School of Economics and Business Administration,Economics,NA,NA,NA
510,2008,2004-2008,"card, david",UC Berkeley,Economics,"   dobkin, carlos",UC Santa Cruz,Economics,"   maestas, nicole",RAND,RAND,NA,NA,NA,NA,NA,NA
960,1978,1976-1980,"carlton, dw",U Chicago,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
354,2006,2004-2008,"caselli, francesco",LSE,Economics,"   coleman, wilbur john, ii",Duke,Business,NA,NA,NA,NA,NA,NA,NA,NA,NA
1208,1980,1976-1980,"caves, dw",U Wisconsin-Madison,Economics,"   christensen, lr",U Wisconsin-Madison,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA
1149,1980,1976-1980,"caves, dw",U Wisconsin-Madison,Economics,"   feige, el",U Wisconsin-Madison,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA
1106,1979,1976-1980,"chan, ks",Saint Mary's U,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1056,1979,1976-1980,"chandler, ca",Howard U,Economics,"   david, wl",Howard U,African Studies,NA,NA,NA,NA,NA,NA,NA,NA,NA
534,2008,2004-2008,"chaney, thomas",U Chicago,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
415,2007,2004-2008,"chang, yongsung",U Rochester,Economics,"   kim, sun-bin",Korea U ,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA
391,2006,2004-2008,"chang, ys",Seoul National U,Economics,"   hong, jh",Upenn,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA
252,2005,2004-2008,"charness, g",UC Santa Barbara,Economics,"   levin, d",Ohio State U ,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA
433,2007,2004-2008,"charness, gary",UC Santa Barbara,Economics,"   rigotti, luca",Duke,Business,"   rustichini, aldo",U Minnesota ,Economics,NA,NA,NA,NA,NA,NA
248,2005,2004-2008,"chay, ky",UC Berkeley,Economics,"   mcewan, pj",Wellesley College,Economics,"   urquiola, m",Columbia,Public Affairs,NA,NA,NA,NA,NA,NA
351,2006,2004-2008,"che, yeon-koo",Columbia U,Economics,"   gale, ian l.",Georgetown,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA
321,2006,2004-2008,"chen, kaiji",U of Oslo,Economics,"   imrohoroglu, ayse",USC,Business,"   imrohoroglu, selahattin",USC,Business,NA,NA,NA,NA,NA,NA
108,1960,1956-1960,"chenery, hb",Stanford,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1220,1980,1976-1980,"cheng, pl",Simon Fraser U,Economics,"   grauer, rr",Simon Fraser U,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA
319,2006,2004-2008,"chetty, raj",UC Berkeley,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
414,2007,2004-2008,"choi, syngjoo",UCL,Economics,"   fisman, raymond",Columbia,Business,"   gale, douglas",NYU,Economics,"   kariv, shachar",UC Berkeley,Economics,NA,NA,NA
649,1976,1976-1980,"chow, gc",Princeton,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,1956,1956-1960,"christ, cf",Chicago,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
829,1977,1976-1980,"chrystal, ka",Essex U,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
192,2004,2004-2008,"ciccone, a",U Pompeu Fabra,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
215,2005,2004-2008,"cipriani, m",GWU,Economics,"   guarino, a",UCL ,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA
138,2004,2004-2008,"coate, s",U Michigan,Economics,"   conlin, m",Syracuse U ,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA
182,2004,2004-2008,"coate, s",Yale,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,1960,1956-1960,"coats, aw",notthingham,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
503,2008,2004-2008,"cogley, timothy",UC Davis,Economics,"   sbordone, argia m.",Federal Reserve Bank of NY,Fed,NA,NA,NA,NA,NA,NA,NA,NA,NA
451,2007,2004-2008,"cohen, alma",Tel Aviv U,Economics,"   einav, liran",Stanford ,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA
355,2006,2004-2008,"comin, d",NYU,Economics,"   gertler, m",NYU,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,2004,2004-2008,"compte, o",CERAS-ENPC,Economics,"   postlewaite, a",Upenn,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,1957,1956-1960,"condliffe, jb",Berkeley,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
527,2008,2004-2008,"condliffe, simon",West Chester U of Pennsylvania ,Economics,"   link, charles r.",U Delaware,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA
428,2007,2004-2008,"conlin, michael",Michigan State U,Economics,"   o'donoghue, ted",Cornell,Economics,"   vogelsang, nmothy j.",Michigan State U,Economics,NA,NA,NA,NA,NA,NA
970,1978,1976-1980,"cooter, r",UC Berkeley,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1037,1979,1976-1980,"corbo, v",Concordia,Economics,"   meller, p",CIEPLAN,Think tank,NA,NA,NA,NA,NA,NA,NA,NA,NA
315,2006,2004-2008,"costa-gomes, miguel a.",U of York,Economics,"   crawford, vincent p.",UC San Diego,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA
440,2007,2004-2008,"costa, dora l.",MIT,Economics,"   kahn, matthew e.",UCLA,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA
1104,1979,1976-1980,"courant, pn",U Michigan,Economics,"   gramlich, em",U Michigan,Economics,"   rubinfeld, dl",U Michigan,Economics,NA,NA,NA,NA,NA,NA
615,1976,1976-1980,"cox, jc",U Massachusetts,Economics,"   wright, aw",U Massachusetts,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA
536,2008,2004-2008,"crawford, ian",U of Oxford,Economics,"   neary, j. peter",Oxford,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA
520,2008,2004-2008,"crawford, vincent p.",UC San Diego,Economics,"   gneezy, uri",UC San Diego,Business,"   rottenstreich, yuval",NYU,Business,NA,NA,NA,NA,NA,NA
682,1976,1976-1980,"crotty, jr","U Massachusetts, Amherst",Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
265,2005,2004-2008,"crucini, mj",Vanderbilt,Economics,"   telmer, ci",Carnegie Mellon U,ILR,"   zachariadis, m",U of Cyprus,Economics,NA,NA,NA,NA,NA,NA
936,1978,1976-1980,"cummings, rg",U of New Mexico,Economics,"   schulze, wd",USC,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA
222,2005,2004-2008,"dal bo, p",Brown ,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
860,1978,1976-1980,"dalton, g",Northwestern,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,1959,1956-1960,"darling, pg",Bowdoin,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
251,2005,2004-2008,"dasgupta, p",Cambridge,Economics,"   maskin, e",IAS,IAS,NA,NA,NA,NA,NA,NA,NA,NA,NA
842,1977,1976-1980,"dasgupta, p",LSE,Economics,"   stiglitz, j",Oxford,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA
241,2005,2004-2008,"daughety, af",Vanderbilt,Economics,"   reinganum, jf",Vanderbilt,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,1960,1956-1960,"davis, dg",cincinnatti,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
148,2004,2004-2008,"davis, lw",U Wisconsin,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
441,2007,2004-2008,"de santis, massimiliano",Dartmouth,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
635,1976,1976-1980,"debreu, g",UC Berkeley,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
362,2006,2004-2008,"dellavigna, s",UC Berkeley,Economics,"   malmendier, u",Stanford ,Business,NA,NA,NA,NA,NA,NA,NA,NA,NA
403,2007,2004-2008,"dellavigna, stefano",UC Berkeley,Economics,"   pollet, joshua a.",U Illinois at Urbana-Champaign,Business,NA,NA,NA,NA,NA,NA,NA,NA,NA
801,1977,1976-1980,"denny, m",U Toronto,Economics,"   fuss, m",U Toronto,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA
596,1976,1976-1980,"denzau, at",Virginia Polytechnic Institute,Economics,"   mackay, rj",Virginia Polytechnic Institute,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA
481,2007,2004-2008,"deschenes, olivier",UC Santa Barbara,Economics,"   greenstone, michael",Mit,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA
583,2008,2004-2008,"dessi, roberta",TSE,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1095,1979,1976-1980,"dewey, d",Columbia,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
910,1978,1976-1980,"diazalejandro, cf",Yale,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
778,1977,1976-1980,"dixit, ak",U of Warwick,Economics,"   stiglitz, je",Stanford,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,2005,2004-2008,"doepke, m",UCLA,Economics,"   zilibotti, f",Stockholm U,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA
345,2006,2004-2008,"donald, stephen g.","U Texas, Austin",Economics,"   hamermesh, daniel s.","U Texas, Austin",Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,1960,1956-1960,"dorfman, r",harvard,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
352,2006,2004-2008,"driffill, john",Birkbeck College (London),Economics,"   rotondi, zeno",NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA
256,2005,2004-2008,"duffy, j",U Pittsburgh,Economics,"   fisher, eo",Ohio State U ,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA
231,2005,2004-2008,"dufwenberg, m",U Arizona,Economics,"   lindqvist, t",NA,Unknown,"   moore, e",Auburn U,Economics,NA,NA,NA,NA,NA,NA
474,2007,2004-2008,"duranton, gilles",U Toronto,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,1956,1956-1960,"earley, js",Wisconsin,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
190,2004,2004-2008,"easterly, w",NYU,Economics,"   levine, r",U Minnesota ,Business,"   roodman, d",Center for Global Development,Think tank,NA,NA,NA,NA,NA,NA
598,1976,1976-1980,"eaton, bc",UBC,Economics," lipsey, rg",Queen's U,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA
476,2007,2004-2008,"edelman, benjamin",Harvard,Economics,"   ostrovsky, michael",Stanford ,Business,"   schwarz, michael",Yahoo! Research,Private,NA,NA,NA,NA,NA,NA
136,2004,2004-2008,"eeckhout, j",U Maryland,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
693,1976,1976-1980,"ehrenberg, rg",Cornell,Economics,"   oaxaca, rl",U Arizona,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA
1022,1979,1976-1980,"ehrenberg, rg",Cornell,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,1956,1956-1960,"eisner, r",Northwestern,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
742,1977,1976-1980,"eisner, r",Northwestern,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1168,1980,1976-1980,"eisner, r",Northwestern,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
348,2006,2004-2008,"eliaz, kfir",NYU,Economics,"   ray, debraj",NYU,Economics,"   razin, ronny",LSE,Economics,NA,NA,NA,NA,NA,NA
554,2008,2004-2008,"ellingsen, tore",Stockholm School of Economics,Economics,"   johannesson, magnus",Stockholm School of Economics,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA
529,2008,2004-2008,"ellingsen, tore",Stockholm School of Economics,Economics,"   miettinen, topi",NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA
806,1977,1976-1980,"elliott, jw",U Wisconsin-Milwaukee,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
327,2006,2004-2008,"engelmann, dirk",U London,Economics,"   strobel, martin",U of Maastricht ,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,1960,1956-1960,"enke, s",Yale,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
542,2008,2004-2008,"erdil, aytek",Oxford,Economics,"   ergin, haluk",Washington U in St. Louis,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA
385,2006,2004-2008,"esteban, j",CSIC,Economics,"   ray, d",NYU,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA
1010,1979,1976-1980,"fair, rc",Yale,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1091,1979,1976-1980,"fair, rc",Yale,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
909,1978,1976-1980,"farber, hs",MIT,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
516,2008,2004-2008,"farrell, joseph",UC Berkeley,Economics,"   shapiro, carl",UC Berkeley,Business,NA,NA,NA,NA,NA,NA,NA,NA,NA
1209,1980,1976-1980,"farrell, m","California State U, Long Beach",Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
479,2007,2004-2008,"fehr, ernst",U of Zurich,Economics,"   goette, lorenz",U of Zurich ,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA
326,2006,2004-2008,"fehr, ernst",U of Zurich,Economics,"   naef, michael",U of Zurich ,Economics,"   schmidt, klaus m.",U of Munich,Economics,NA,NA,NA,NA,NA,NA
210,2004,2004-2008,"feinerman, e",Hebrew U,Economics,"   finkelshtain, i",Hebrew U ,Economics,"   kan, i",Hebrew U,Economics,NA,NA,NA,NA,NA,NA
599,1976,1976-1980,"feldstein, m",Harvard,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
743,1977,1976-1980,"feldstein, m",Harvard,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
976,1978,1976-1980,"feldstein, m",Harvard,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1218,1980,1976-1980,"feldstein, m",Harvard,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1225,1980,1976-1980,"feldstein, m",Harvard,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,1956,1956-1960,"fellner, w",Yale,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
466,2007,2004-2008,"fernandez-villaverde, jesus",Upenn,Economics,"   rubio-ramirez, juan f.",Duke,Economics,"   sargent, thomas j.",NYU,Economics,"   watson, mark w.",Princeton,Economics,NA,NA,NA
810,1977,1976-1980,"fields, gs",Yale,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
180,2004,2004-2008,"figlio, dn","U Florida, Gainesville",Economics,"   lucas, me",School Board of Alachua County,Other government,NA,NA,NA,NA,NA,NA,NA,NA,NA
436,2007,2004-2008,"filiz-ozbay, emel",Columbia,Economics,"   ozbay, erkut y.",NYU,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA
330,2006,2004-2008,"finkelstein, amy",MIT,Economics,"   mcgarry, kathleen",UCLA,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA
814,1977,1976-1980,"fisher, fm",MIT,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
580,2008,2004-2008,"flavin, marjorie",UC San Diego,Economics,"   nakagawa, shinobu",Bank of Japan,Other central bank,NA,NA,NA,NA,NA,NA,NA,NA,NA
994,1979,1976-1980,"fleisher, bm",Ohio State U,Economics,"   rhodes, gf",Colorado State U,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA
773,1977,1976-1980,"fogel, rw",Harvard,Economics,"   engerman, sl",U of Rochester,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA
331,2006,2004-2008,"fortin, nicole m.",UBC,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
933,1978,1976-1980,"frank, rh",Cornell,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
653,1976,1976-1980,"freeman, rb",Harvard,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1169,1980,1976-1980,"frenkel, ja",U Chicago,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
150,2004,2004-2008,"frey, bs",U of Zurich,Economics,"   meier, s",U of Zurich ,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,1957,1956-1960,"friend, i",Pennsylvania,Economics,"kravis, ib",Pennsylvania,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA
186,2004,2004-2008,"frijters, p",Australian National U ,Economics,"   haisken-denew, jp",NA,Unknown,"   shields, ma",U of Melbourne,Economics,NA,NA,NA,NA,NA,NA
1205,1980,1976-1980,"froyen, rt",U of North Carolina – Chapel Hill,Economics,"   waud, rn",U of North Carolina – Chapel Hill,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA
493,2008,2004-2008,"fuchs-schundeln, nicola",Harvard,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
438,2007,2004-2008,"fuchs, william",U Chicago,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
359,2006,2004-2008,"fudenberg, d",Harvard,Economics,"   levine, dk",UCLA,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA
