UniqueID;JOURNAL;YEAR;AUT1;AFFIL_AUT1;PHD_AUT1;AUT2;AFFIL_AUT2;PHD_AUT2;AUT3;AFFIL_AUT3;PHD_AUT3;AUT4;AFFIL_AUT4;PHD_AUT4;AUT5;AFFIL_AUT5;PHD_AUT5;AUT6;AFFIL_AUT6;PHD_AUT6;AUT7;AFFIL_AUT7;PHD_AUT7;AUT8;AFFIL_AUT8;PHD_AUT8
248;AMERICAN JOURNAL OF SOCIOLOGY;2011;spires, anthony j.;Chinese University of Hong Kong;Yale University;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
249;AMERICAN JOURNAL OF SOCIOLOGY;2011;mackenzie, donald;University of Edinburgh;University of Edinburgh;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
250;AMERICAN JOURNAL OF SOCIOLOGY;2012;raley, sara;McDaniel College;University of Maryland;bianchi, suzanne m.;University of California, Los Angeles;University of Maryland;wang, wendy;Pew Research Center;University of Maryland;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
251;AMERICAN JOURNAL OF SOCIOLOGY;2012;king, ryan d.;University at Albany, SUNY;University of Minnesota;massoglia, michael;University of Wisconsin-Madison;University of Minnesota;uggen, christopher;University of Minnesota;University of Wisconsin-Madison;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
252;AMERICAN JOURNAL OF SOCIOLOGY;2012;koopmans, ruud;Social Science Research Center Berlin (WZB);University of Amsterdam;michalowski, ines;Social Science Research Center Berlin (WZB);University of Munster;waibel, stine;Social Science Research Center Berlin (WZB);Freie Universitat Berlin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
253;AMERICAN JOURNAL OF SOCIOLOGY;2012;foster, john bellamy;University of Oregon;York University, Ontario;holleman, hannah;Amherst College;University of Oregon;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
254;AMERICAN JOURNAL OF SOCIOLOGY;2012;fox, cybelle;University of California, Berkeley;Harvard University;guglielmo, thomas a.;George Washington University;University of Michigan;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
255;AMERICAN JOURNAL OF SOCIOLOGY;2012;perry, brea l.;University of Kentucky;Indiana University, Bloomington;pescosolido, bernice a.;Indiana University, Bloomington;Yale University;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
256;AMERICAN JOURNAL OF SOCIOLOGY;2012;kroneberg, clemens;University of Mannheim;University of Mannheim;wimmer, andreas;University of California, Los Angeles;University of Zurich;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
257;AMERICAN JOURNAL OF SOCIOLOGY;2012;weeden, kim a.;Cornell University;Stanford University;grusky, david b.;Stanford University;University of Wisconsin-Madison;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
258;AMERICAN JOURNAL OF SOCIOLOGY;2012;wright, rachel a.;Stanford University;Stanford University;boudet, hilary schaffer;Oregon State University;Stanford University;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
259;AMERICAN JOURNAL OF SOCIOLOGY;2012;wang, dan j.;Stanford University;Stanford University;soule, sarah a.;Stanford University;Cornell University;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
260;AMERICAN JOURNAL OF SOCIOLOGY;2012;greve, henrich r.;INSEAD;Stanford University;rao, hayagreeva;Stanford University;Case Western Reserve University;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
261;AMERICAN JOURNAL OF SOCIOLOGY;2012;pampel, fred c.;University of Colorado, Boulder;University of Illinois at Urbana-Champaign;hunter, lori m.;University of Colorado, Boulder;Brown University;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
262;AMERICAN JOURNAL OF SOCIOLOGY;2012;rosenfeld, jake;University of Washington;Princeton University;kleykamp, meredith;University of Maryland;Princeton University;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
263;AMERICAN JOURNAL OF SOCIOLOGY;2012;choi, susanne y. p.;Chinese University of Hong Kong;University of Oxford;david, roman;Newcastle University;Masaryk University;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
264;AMERICAN JOURNAL OF SOCIOLOGY;2012;mudge, stephanie lee;University of California, Davis;University of California, Berkeley;vauchez, antoine;Centre National de la Recherche Scientifique;European University Institute;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
265;AMERICAN JOURNAL OF SOCIOLOGY;2012;saperstein, aliya;Stanford University;University of California, Berkeley;penner, andrew m.;University of California, Irvine;University of California, Berkeley;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
266;AMERICAN JOURNAL OF SOCIOLOGY;2012;menjivar, cecilia;Arizona State University;University of California, Davis;abrego, leisy j.;University of California, Los Angeles;University of California, Los Angeles;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
267;AMERICAN JOURNAL OF SOCIOLOGY;2012;soehl, thomas;University of California, Los Angeles;University of California, Los Angeles;waldinger, roger;University of California, Los Angeles;Harvard University;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
268;AMERICAN JOURNAL OF SOCIOLOGY;2012;jorgenson, andrew k.;University of Utah;University of California, Riverside;clark, brett;University of Utah;University of Oregon;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
269;AMERICAN JOURNAL OF SOCIOLOGY;2012;muller, christopher;Harvard University;Harvard University;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
270;AMERICAN JOURNAL OF SOCIOLOGY;2012;desmond, matthew;Harvard University;University of Wisconsin-Madison;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
271;AMERICAN JOURNAL OF SOCIOLOGY;2012;desmond, matthew;Harvard University;University of Wisconsin-Madison;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
272;AMERICAN JOURNAL OF SOCIOLOGY;2012;turco, catherine;Massachusetts Institute of Technology;Harvard University;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
273;AMERICAN JOURNAL OF SOCIOLOGY;2012;steinman, erich;Pitzer College;University of Washington;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
274;AMERICAN JOURNAL OF SOCIOLOGY;2012;schneider, daniel;Princeton University;Princeton University;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
275;AMERICAN JOURNAL OF SOCIOLOGY;2012;frye, margaret;University of California, Berkeley;University of California, Berkeley;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
276;AMERICAN JOURNAL OF SOCIOLOGY;2012;cole, wade m.;University of Utah;Stanford University;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
277;AMERICAN JOURNAL OF SOCIOLOGY;2012;moon, dawne;Marquette University;University of Chicago;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
278;AMERICAN JOURNAL OF SOCIOLOGY;2012;reay, michael j.;Swarthmore College;University of Chicago;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
279;AMERICAN JOURNAL OF SOCIOLOGY;2012;polavieja, javier g.;Universidad Carlos III de Madrid;University of Oxford;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
280;JOURNAL OF POLITICAL ECONOMY;2003;dranove, d;Northwestern University;Stanford University;kessler, d;Stanford University;Massachusetts Institute of Technology;mcclellan, m;Stanford University;Massachusetts Institute of Technology;satterthwaite, m;Northwestern University;University of Wisconsin-Madison;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
281;JOURNAL OF POLITICAL ECONOMY;2003;cabrales, a;Universitat Pompeu Fabra;University of California, San Diego;calvo-armengol, a;Universitat Autonoma de Barcelona;Universitat Pompeu Fabra;jackson, mo;California Institute of Technology;Stanford University;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
282;JOURNAL OF POLITICAL ECONOMY;2003;castaneda, a;BNP Paribas Securities Services;Universidad Carlos III de Madrid;diaz-gimenez, j;Universidad Carlos III de Madrid;University of Minnesota;rios-rull, jv;University of Pennsylvania;University of Minnesota;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
283;JOURNAL OF POLITICAL ECONOMY;2003;hamilton, bh;Washington University, St. Louis;Stanford University;nickerson, ja;Washington University, St. Louis;University of California, Berkeley;owan, h;Washington University, St. Louis;Stanford University;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
284;JOURNAL OF POLITICAL ECONOMY;2003;gomes, j;University of Pennsylvania;University of Rochester;kogan, l;Massachusetts Institute of Technology;Massachusetts Institute of Technology;zhang, l;University of Rochester;University of Pennsylvania;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
285;JOURNAL OF POLITICAL ECONOMY;2003;fernandez, r;New York University;Columbia University;rogerson, r;Arizona State University;University of Minnesota;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
286;JOURNAL OF POLITICAL ECONOMY;2003;peck, j;Ohio State University;University of Pennsylvania;shell, k;Cornell University;Stanford University;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
287;JOURNAL OF POLITICAL ECONOMY;2003;bernheim, bd;Stanford University;Massachusetts Institute of Technology;severinov, s;Duke University;Stanford University;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
288;JOURNAL OF POLITICAL ECONOMY;2003;niederle, m;Stanford University;Harvard University;roth, ae;Harvard University;Stanford University;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
289;JOURNAL OF POLITICAL ECONOMY;2003;dal bo, e;University of Oxford;University of Oxford;di tella, r;Harvard University;Harvard University;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
290;JOURNAL OF POLITICAL ECONOMY;2003;grogger, j;University of California, Los Angeles;University of California, San Diego;michalopoulos, c;Manpower Demonstration Research Corporation;University of Wisconsin-Madison;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
291;JOURNAL OF POLITICAL ECONOMY;2003;bertrand, m;University of Chicago;Harvard University;mullainathan, s;Massachusetts Institute of Technology;Harvard University;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
292;JOURNAL OF POLITICAL ECONOMY;2003;scheinkman, ja;Princeton University;University of Rochester;xiong, w;Princeton University;Duke University;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
293;JOURNAL OF POLITICAL ECONOMY;2003;haile, pa;University of Wisconsin-Madison;Northwestern University;tamer, e;Princeton University;Northwestern University;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
294;JOURNAL OF POLITICAL ECONOMY;2003;schotter, a;New York University;New York University;sopher, b;Rutgers University;University of Iowa;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
295;JOURNAL OF POLITICAL ECONOMY;2003;lamont, oa;University of Chicago;Massachusetts Institute of Technology;thaler, rh;University of Chicago;University of Rochester;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
296;JOURNAL OF POLITICAL ECONOMY;2003;charles, kk;University of Michigan;Cornell University;hurst, e;University of Chicago;University of Michigan;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
297;JOURNAL OF POLITICAL ECONOMY;2003;bennardo, a;University of Salerno;Paris School of Economics;chiappori, pa;University of Chicago;Universite de Paris I;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
298;JOURNAL OF POLITICAL ECONOMY;2003;chari, vv;University of Minnesota;Carnegie Mellon University;kehoe, pj;University of Minnesota;Harvard University;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
299;JOURNAL OF POLITICAL ECONOMY;2003;george, l;Michigan State University;University of Pennsylvania;waldfogel, j;University of Pennsylvania;Stanford University;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
300;JOURNAL OF POLITICAL ECONOMY;2003;pastor, l;University of Chicago;University of Pennsylvania;stambaugh, rf;University of Pennsylvania;University of Chicago;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
301;JOURNAL OF POLITICAL ECONOMY;2003;conley, tg;University of Chicago;University of Chicago;dupor, b;University of Pennsylvania;University of Chicago;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
302;JOURNAL OF POLITICAL ECONOMY;2003;musto, dk;University of Pennsylvania;University of Chicago;yilmaz, b;University of Pennsylvania;Princeton University;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
303;JOURNAL OF POLITICAL ECONOMY;2003;goulder, lh;Stanford University;Stanford University;williams, rc;University of Texas, Austin;Stanford University;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
304;JOURNAL OF POLITICAL ECONOMY;2003;plug, e;University of Amsterdam;Tinbergen Institute;vijverberg, w;University of Texas, Dallas;University of Pittsburgh;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
305;JOURNAL OF POLITICAL ECONOMY;2003;rust, j;University of Maryland;Massachusetts Institute of Technology;hall, g;Yale University;University of Chicago;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
306;JOURNAL OF POLITICAL ECONOMY;2003;kemp, mc;University of New South Wales;Johns Hopkins University;shimomura, k;Kobe University;University of New South Wales;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
307;JOURNAL OF POLITICAL ECONOMY;2003;hsieh, ct;Princeton University;University of California, Berkeley;moretti, e;University of California, Los Angeles;University of California, Berkeley;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
308;JOURNAL OF POLITICAL ECONOMY;2003;lahiri, a;University of California, Los Angeles;University of Maryland;vegh, ca;University of California, Los Angeles;University of Chicago;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
309;JOURNAL OF POLITICAL ECONOMY;2003;luttmer, egj;University of Minnesota;University of Chicago;mariotti, t;University of Toulouse;University of Toulouse;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
310;JOURNAL OF POLITICAL ECONOMY;2003;krishna, p;Brown University;Columbia University;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
311;JOURNAL OF POLITICAL ECONOMY;2003;kopczuk, w;Columbia University;University of Michigan;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
312;JOURNAL OF POLITICAL ECONOMY;2003;yi, km;Federal Reserve Bank of New York;University of Chicago;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
313;JOURNAL OF POLITICAL ECONOMY;2003;rotemberg, jj;Harvard University;Princeton University;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
314;JOURNAL OF POLITICAL ECONOMY;2003;dixit, a;Princeton University;Massachusetts Institute of Technology;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
315;JOURNAL OF POLITICAL ECONOMY;2003;conlisk, j;University of California, San Diego;Stanford University;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
316;JOURNAL OF POLITICAL ECONOMY;2003;young, a;University of Chicago;Columbia University;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
317;JOURNAL OF POLITICAL ECONOMY;2003;prendergast, c;University of Chicago;Yale University;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
318;JOURNAL OF POLITICAL ECONOMY;2003;debaere, p;University of Texas, Austin;University of Michigan;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
319;JOURNAL OF POLITICAL ECONOMY;2003;piketty, t;Paris School of Economics;Ecole des Hautes Etudes en Sciences Sociales (EHESS);NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
320;JOURNAL OF POLITICAL ECONOMY;2003;anderson, s;University of British Columbia;University of British Columbia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
321;JOURNAL OF POLITICAL ECONOMY;2003;baker, mj;US Naval Academy;University of Connecticut;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
322;JOURNAL OF POLITICAL ECONOMY;2004;la porta, r;Dartmouth College;Harvard University;lopez-de-silanes, f;Yale University;Harvard University;pop-eleches, c;Columbia University;Harvard University;shleifer, a;Harvard University;Massachusetts Institute of Technology;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
323;JOURNAL OF POLITICAL ECONOMY;2004;gaynor, m;Carnegie Mellon University;Northwestern University;rebitzer, jb;Case Western Reserve University;University of Massachusetts, Lowell;taylor, lj;Carnegie Mellon University;University of Michigan;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
324;JOURNAL OF POLITICAL ECONOMY;2004;alesina, a;Harvard University;Massachusetts Institute of Technology;baqir, r;International Monetary Fund;University of California, Berkeley;hoxby, c;Harvard University;Massachusetts Institute of Technology;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
325;JOURNAL OF POLITICAL ECONOMY;2004;berry, s;Yale University;University of Wisconsin-Madison;levinsohn, j;University of Michigan;Yale University;pakes, a;Harvard University;Harvard University;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
326;JOURNAL OF POLITICAL ECONOMY;2004;carlton, dw;University of Chicago;Massachusetts Institute of Technology;frankel, as;LECG;University of Chicago;landes, em;Lexecon;Columbia University;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
327;JOURNAL OF POLITICAL ECONOMY;2004;lo, aw;Massachusetts Institute of Technology;Harvard University;mamaysky, h;Yale University;Massachusetts Institute of Technology;wang, j;Massachusetts Institute of Technology;University of Pennsylvania;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
328;JOURNAL OF POLITICAL ECONOMY;2004;miguel, e;University of California, Berkeley;Harvard University;satyanath, s;New York University;Columbia University;sergenti, e;New York University;New York University;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
329;JOURNAL OF POLITICAL ECONOMY;2004;menzly, l;University of Southern California;University of Chicago;santos, t;Columbia University;University of Chicago;veronesi, p;University of Chicago;Harvard University;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
330;JOURNAL OF POLITICAL ECONOMY;2004;davis, sj;University of Chicago;Brown University;murphy, km;University of Chicago;University of Chicago;topel, rh;University of Chicago;University of California, Los Angeles;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
331;JOURNAL OF POLITICAL ECONOMY;2004;persico, n;University of Pennsylvania;Northwestern University;postlewaite, a;University of Pennsylvania;Northwestern University;silverman, d;University of Michigan;University of Pennsylvania;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
332;JOURNAL OF POLITICAL ECONOMY;2004;storesletten, k;University of Oslo;Carnegie Mellon University;telmer, ci;Carnegie Mellon University;Queens University;yaron, a;University of Pennsylvania;University of Chicago;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
333;JOURNAL OF POLITICAL ECONOMY;2004;cooley, t;New York University;University of Pennsylvania;marimon, r;Universitat Pompeu Fabra;Northwestern University;quadrini, v;University of Southern California;University of Pennsylvania;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
334;JOURNAL OF POLITICAL ECONOMY;2004;bisin, a;New York University;University of Chicago;topa, g;New York University;University of Chicago;verdier, t;Paris School of Economics;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
335;JOURNAL OF POLITICAL ECONOMY;2004;gilboa, i;Tel Aviv University;Tel Aviv University;samet, d;Tel Aviv University;The Hebrew University;schmeidler, d;Tel Aviv University;The Hebrew University;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
336;JOURNAL OF POLITICAL ECONOMY;2004;ekeland, i;University of British Columbia;Universite de Paris VI;heckman, jj;University of Chicago;Princeton University;nesheim, l;University College London;University of Chicago;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
337;JOURNAL OF POLITICAL ECONOMY;2004;acemoglu, d;Massachusetts Institute of Technology;London School of Economics;autor, dh;Massachusetts Institute of Technology;Harvard University;lyle, d;US Military Academy;Massachusetts Institute of Technology;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
338;JOURNAL OF POLITICAL ECONOMY;2004;costrell, rm;University of Massachusetts, Amherst;Harvard University;loury, gc;Boston University;Massachusetts Institute of Technology;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
339;JOURNAL OF POLITICAL ECONOMY;2004;choi, ys;Korean Development Institute;Brown University;krishna, p;Brown University;Columbia University;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
340;JOURNAL OF POLITICAL ECONOMY;2004;berk, jb;University of California, Berkeley;Yale University;green, rc;Carnegie Mellon University;University of Wisconsin-Madison;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
341;JOURNAL OF POLITICAL ECONOMY;2004;bernhofen, dm;Clark University;University of Syracus;brown, jc;Clark University;University of Michigan;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
342;JOURNAL OF POLITICAL ECONOMY;2004;hurst, e;University of Chicago;University of Michigan;lusardi, a;Dartmouth College;Princeton University;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
343;JOURNAL OF POLITICAL ECONOMY;2004;antras, p;Harvard University;Massachusetts Institute of Technology;helpman, e;Harvard University;Harvard University;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
344;JOURNAL OF POLITICAL ECONOMY;2004;fisman, r;Columbia University;Harvard University;wei, sj;International Monetary Fund;University of California, Berkeley;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
345;JOURNAL OF POLITICAL ECONOMY;2004;finkelstein, a;Harvard University;Massachusetts Institute of Technology;poterba, j;Massachusetts Institute of Technology;University of Oxford;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
346;JOURNAL OF POLITICAL ECONOMY;2004;ashenfelter, o;Princeton University;Princeton University;greenstone, m;Massachusetts Institute of Technology;Princeton University;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
347;JOURNAL OF POLITICAL ECONOMY;2004;caplin, a;New York University;Yale University;leahy, j;New York University;Princeton University;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
348;JOURNAL OF POLITICAL ECONOMY;2004;house, cl;University of Michigan;Boston University;leahy, jv;New York University;Princeton University;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
349;JOURNAL OF POLITICAL ECONOMY;2004;cameron, sv;Columbia University;University of Chicago;taber, c;Northwestern University;University of Chicago;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
350;JOURNAL OF POLITICAL ECONOMY;2004;horner, j;Northwestern University;University of Pennsylvania;kamien, mi;Northwestern University;Purdue University;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
351;JOURNAL OF POLITICAL ECONOMY;2004;krueger, ab;Princeton University;Harvard University;mas, a;Princeton University;Princeton University;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
352;JOURNAL OF POLITICAL ECONOMY;2004;hummels, d;Purdue University;University of Michigan;skiba, a;Purdue University;Purdue University;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
353;JOURNAL OF POLITICAL ECONOMY;2004;bils, m;University of Rochester;Massachusetts Institute of Technology;klenow, pj;Stanford University;Stanford University;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
354;JOURNAL OF POLITICAL ECONOMY;2004;hansen, zk;Washington University, St. Louis;University of Arizona;libecap, gd;University of Arizona;University of Pennsylvania;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
